DateTime,latitude,longitude,measuring,raw measuring,Hour,UPPER LIMIT,LOWER LIMIT,Diff,Max Diff,Min Diff,QTLE01,QTLE99,DIFF_QTLE01,DIFF_QTLE99,Count,Std,% valid,Tag
2022-11-26 06:30:00,-28.456899,-48.972999,0.135,0.1325,6,2000.0,0.0,-0.0037499999999999964,200.0,-200.0,0.0475,3.875,-1.505,1.3499999999999996,4,0.007071067811865481,100.0,VALID
2022-11-26 07:30:00,-28.456899,-48.972999,0.1325,0.16749999999999998,7,2000.0,0.0,0.0049999999999999975,200.0,-200.0,0.105,3.165,-1.505,1.3499999999999996,4,0.014999999999999998,100.0,VALID
2022-11-26 08:30:00,-28.456899,-48.972999,0.2175,0.22,8,2000.0,0.0,0.0325,200.0,-200.0,0.0875,3.42,-1.505,1.3499999999999996,2,0.0035355339059327407,50.0,LOWSAMPLES
2022-11-26 09:30:00,-28.456899,-48.972999,0.7925,0.865,9,2000.0,0.0,0.14500000000000002,200.0,-200.0,0.05500000000000001,5.3825,-1.505,1.3499999999999996,2,0.1025304832720494,50.0,LOWSAMPLES
2022-11-26 10:30:00,-28.456899,-48.972999,0.8025,0.755,10,2000.0,0.0,-0.024999999999999994,200.0,-200.0,0.065,5.2875000000000005,-1.505,1.3499999999999996,4,0.043301270189221926,100.0,VALID
2022-11-26 11:30:00,-28.456899,-48.972999,0.96625,1.0925,11,2000.0,0.0,0.09,200.0,-200.0,0.030000000000000002,5.1875,-1.505,1.3499999999999996,4,0.13810473079031965,100.0,VALID
2022-11-26 12:30:00,-28.456899,-48.972999,1.89,2.885,12,2000.0,0.0,0.42374999999999996,200.0,-200.0,0.115,3.8875,-1.505,1.3499999999999996,4,0.7466927078792186,100.0,VALID
2022-11-26 13:30:00,-28.456899000000003,-48.972998999999994,3.4450000000000003,3.1933333333333334,13,2000.0,0.0,0.21333333333333337,200.0,-200.0,0.115,5.055,-1.505,1.3499999999999996,3,0.025980762113533153,75.0,VALID
2022-11-26 14:30:00,-28.456899,-48.972999,2.2350000000000003,2.08,14,2000.0,0.0,,200.0,-200.0,0.085,5.0775,-1.505,1.3499999999999996,1,,25.0,LOWSAMPLES
2022-11-26 15:30:00,-28.456899,-48.972999,2.06625,1.9649999999999999,15,2000.0,0.0,-0.07750000000000012,200.0,-200.0,0.08,4.87,-1.505,1.3499999999999996,4,0.10233726919684095,100.0,VALID
2022-11-26 16:30:00,-28.456899,-48.972999,1.88625,2.0075,16,2000.0,0.0,0.022499999999999964,200.0,-200.0,0.095,5.272499999999999,-1.505,1.3499999999999996,4,0.09792641795416239,100.0,VALID
2022-11-26 17:30:00,-28.456899,-48.972999,1.70125,1.32,17,2000.0,0.0,-0.15499999999999992,200.0,-200.0,0.1,5.8275,-1.505,1.3499999999999996,4,0.28033833725220897,100.0,VALID
2022-11-26 18:30:00,-28.456899,-48.972999,0.80375,0.84,18,2000.0,0.0,-0.18125000000000002,200.0,-200.0,0.0675,5.48,-1.505,1.3499999999999996,4,0.19838409714490732,100.0,VALID
2022-11-26 19:30:00,,,,,19,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-26 20:30:00,-28.456899,-48.972999,2.10625,2.08,20,2000.0,0.0,-0.013333333333333345,200.0,-200.0,0.0925,7.67,-1.505,1.3499999999999996,4,0.03473110997362455,100.0,VALID
2022-11-26 21:30:00,-28.456899,-48.972999,2.2025,2.39,21,2000.0,0.0,0.1050000000000001,200.0,-200.0,0.115,9.9025,-1.505,1.3499999999999996,4,0.20597329924045996,100.0,VALID
2022-11-26 22:30:00,-28.456899,-48.972999,2.9337500000000003,3.2725,22,2000.0,0.0,0.18874999999999997,200.0,-200.0,0.1225,7.029999999999999,-1.505,1.3499999999999996,4,0.3051058559472979,100.0,VALID
2022-11-26 23:30:00,-28.456899,-48.972999,3.1075,2.875,23,2000.0,0.0,-0.10375000000000001,200.0,-200.0,0.12,5.005,-1.505,1.3499999999999996,4,0.21175851025795064,100.0,VALID
2022-11-27 00:30:00,-28.456899,-48.972999,2.675,1.99,0,2000.0,0.0,-0.15000000000000036,200.0,-200.0,0.1225,5.07,-1.505,1.3499999999999996,1,,25.0,LOWSAMPLES
2022-11-27 01:30:00,-28.456899000000003,-48.972998999999994,1.2233333333333334,1.1300000000000001,1,2000.0,0.0,-0.1775,200.0,-200.0,0.1225,4.82,-1.505,1.3499999999999996,3,0.20495934556231718,75.0,VALID
2022-11-27 02:30:00,-28.456899,-48.972999,1.7287499999999998,2.06,2,2000.0,0.0,0.22499999999999998,200.0,-200.0,0.07,4.3149999999999995,-1.505,1.3499999999999996,4,0.36141792521493266,100.0,VALID
