DateTime,latitude,longitude,measuring,raw measuring,Diff,UPPER LIMIT,LOWER LIMIT,Hour,GLOBAL_QTLE01,GLOBAL_QTLE99,DIFF_QTLE01,DIFF_QTLE99,Count,Std,% valid,Tag
2022-12-14 13:30:00,-28.456899,-48.972999,31.6375,31.622500000000002,-0.098749999999999,85.0,-40.0,13,24.240000000000002,44.75,-1.1749999999999972,0.894999999999996,4,0.07621242243448974,100.0,VALID
2022-12-14 14:30:00,-28.456899,-48.972999,31.57,31.315,-0.09375,85.0,-40.0,14,24.07,44.74,-1.2850000000000037,0.9349999999999987,4,0.20103896803024512,100.0,VALID
2022-12-14 15:30:00,-28.456899,-48.972999,30.567500000000003,29.845,-0.38125000000000053,85.0,-40.0,15,23.65,43.985,-1.7450000000000045,0.7349999999999994,4,0.5812701609406759,100.0,VALID
2022-12-14 16:30:00,-28.456899,-48.972999,28.82875,28.4825,-0.3337499999999993,85.0,-40.0,16,23.6,42.66,-1.5549999999999926,0.41499999999999915,4,0.3192536870055928,100.0,VALID
2022-12-14 17:30:00,-28.456899,-48.972999,27.91125,27.6175,-0.20000000000000107,85.0,-40.0,17,23.105,40.58,-1.4699999999999989,0.3949999999999996,4,0.25216975102762357,100.0,VALID
2022-12-14 18:30:00,-28.456899,-48.972999,27.1625,26.9025,-0.17624999999999957,85.0,-40.0,18,23.38,38.265,-1.5650000000000013,0.5399999999999991,4,0.21527114685128362,100.0,VALID
2022-12-14 19:30:00,-28.456899,-48.972999,26.5275,26.3725,-0.13874999999999993,85.0,-40.0,19,22.975,34.375,-1.3400000000000034,0.389999999999997,4,0.15887626212454425,100.0,VALID
2022-12-14 20:30:00,-28.456899,-48.972999,26.2675,26.275,-0.028750000000000497,85.0,-40.0,20,22.57,32.885,-0.6400000000000006,0.20000000000000284,4,0.021794494717701205,100.0,VALID
2022-12-14 21:30:00,-28.456899,-48.972999,26.32375,26.3125,0.012500000000001066,85.0,-40.0,21,21.47,31.765,-0.4349999999999987,0.17999999999999972,4,0.013149778198382457,100.0,VALID
2022-12-14 22:30:00,-28.456899,-48.972999,26.21125,26.0875,-0.05375000000000085,85.0,-40.0,22,21.205,31.435000000000002,-0.41000000000000014,0.16000000000000014,4,0.08605957239029313,100.0,VALID
2022-12-14 23:30:00,-28.456899,-48.972999,25.83125,25.7225,-0.0962499999999995,85.0,-40.0,23,20.87,31.119999999999997,-0.29499999999999815,0.10500000000000043,4,0.11499094167223228,100.0,VALID
2022-12-15 00:30:00,-28.456899,-48.972999,25.6225,25.5475,-0.03500000000000014,85.0,-40.0,0,20.97,31.08,-0.36499999999999844,0.11500000000000199,4,0.04406434688800688,100.0,VALID
2022-12-15 01:30:00,-28.456899,-48.972999,25.31125,25.11,-0.11374999999999957,85.0,-40.0,1,20.28,30.82,-0.34499999999999886,0.09999999999999787,4,0.159863222787482,100.0,VALID
2022-12-15 02:30:00,-28.456899,-48.972999,24.66125,24.33,-0.19500000000000028,85.0,-40.0,2,19.86,30.855,-0.41999999999999815,0.12000000000000455,4,0.26855710131490806,100.0,VALID
2022-12-15 03:30:00,-28.456899,-48.972999,23.795,23.545,-0.19374999999999964,85.0,-40.0,3,19.745,30.9,-0.3450000000000024,0.125,4,0.2298550267741214,100.0,VALID
2022-12-15 04:30:00,-28.456899,-48.972999,23.223750000000003,23.0925,-0.11375000000000046,85.0,-40.0,4,19.605,30.945,-0.3150000000000013,0.13000000000000256,4,0.13670985090085386,100.0,VALID
2022-12-15 05:30:00,-28.456899,-48.972999,22.95375,22.88,-0.0625,85.0,-40.0,5,19.53,30.985,-0.3200000000000003,0.18499999999999872,4,0.08350399192054637,100.0,VALID
2022-12-15 06:30:00,-28.456899000000003,-48.972998999999994,23.08,24.02333333333333,0.1999999999999993,85.0,-40.0,6,19.545,30.994999999999994,-0.22500000000000142,1.019999999999996,3,0.3269174207655506,75.0,VALID
2022-12-15 07:30:00,-28.456899,-48.972999,26.935000000000002,28.02,0.8624999999999998,85.0,-40.0,7,19.705,31.98,-0.10999999999999943,1.5050000000000026,4,1.0056424149103225,100.0,VALID
2022-12-15 08:30:00,-28.456899,-48.972999,29.41875,30.1125,0.5274999999999999,85.0,-40.0,8,21.18,35.485,-0.03999999999999915,1.6299999999999955,4,0.6446106706118571,100.0,VALID
2022-12-15 09:30:00,-28.456899,-48.972999,31.25625,31.87,0.45000000000000107,85.0,-40.0,9,23.485,38.010000000000005,-0.3150000000000013,1.730000000000004,4,0.6089933634011677,100.0,VALID
2022-12-15 10:30:00,-28.456899,-48.972999,32.7725,33.255,0.3587499999999988,85.0,-40.0,10,24.185000000000002,40.215,-0.7600000000000051,1.3500000000000085,4,0.5030821669137834,100.0,VALID
2022-12-15 11:30:00,-28.456899,-48.972999,33.79625,33.96,0.16375000000000028,85.0,-40.0,11,24.47,42.375,-0.9149999999999991,1.1149999999999949,4,0.2349601029962314,100.0,VALID
2022-12-15 12:30:00,-28.456899,-48.972999,33.433749999999996,33.18,-0.22125000000000128,85.0,-40.0,12,23.925,44.175,-0.6700000000000017,1.009999999999998,4,0.301091763421054,100.0,VALID
2022-12-15 13:30:00,-28.456899,-48.972999,33.30375,33.620000000000005,0.11500000000000199,85.0,-40.0,13,24.240000000000002,44.75,-1.1749999999999972,0.894999999999996,4,0.2017991988751923,100.0,VALID
2022-12-15 14:30:00,-28.456899,-48.972999,34.063750000000006,34.144999999999996,0.16000000000000014,85.0,-40.0,14,24.07,44.74,-1.2850000000000037,0.9349999999999987,4,0.14290877043298292,100.0,VALID
2022-12-15 15:30:00,-28.456899,-48.972999,34.14375,34.1775,0.0,85.0,-40.0,15,23.65,43.985,-1.7450000000000045,0.7349999999999994,4,0.03750000000000261,100.0,VALID
2022-12-15 16:30:00,-28.456899,-48.972999,34.11875,33.6025,-0.15500000000000114,85.0,-40.0,16,23.6,42.66,-1.5549999999999926,0.41499999999999915,4,0.36652364634950013,100.0,VALID
2022-12-15 17:30:00,-28.456899,-48.972999,31.98625,31.387500000000003,-0.5687499999999996,85.0,-40.0,17,23.105,40.58,-1.4699999999999989,0.3949999999999996,4,0.6606105130861876,100.0,VALID
2022-12-15 18:30:00,-28.456899,-48.972999,30.605,29.88,-0.3324999999999996,85.0,-40.0,18,23.38,38.265,-1.5650000000000013,0.5399999999999991,4,0.49899899799498687,100.0,VALID
2022-12-15 19:30:00,-28.456899,-48.972999,28.448749999999997,27.79,-0.5700000000000003,85.0,-40.0,19,22.975,34.375,-1.3400000000000034,0.389999999999997,4,0.6849498156799521,100.0,VALID
2022-12-15 20:30:00,-28.456899,-48.972999,27.305,27.2575,-0.11125000000000007,85.0,-40.0,20,22.57,32.885,-0.6400000000000006,0.20000000000000284,4,0.09407443861113453,100.0,VALID
