,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -18.775706930593806, 'Std': 7.038006846058475}","{'Mean': -18.269587009433387, 'Std': 7.6366043301753646}","{'Mean': -21.16022829491012, 'Std': 5.858014696363402}","{'Mean': -18.307992447629974, 'Std': 6.946623077639953}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -19.6748573469272, 'Std': 6.733920508199211}","{'Mean': -17.749399114868424, 'Std': 7.378104703398967}","{'Mean': -21.603857152202217, 'Std': 6.211833366665048}","{'Mean': -17.55013694703245, 'Std': 7.257893922088879}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -19.608577179772954, 'Std': 6.85400322440972}","{'Mean': -17.604462168456326, 'Std': 7.403237506851138}","{'Mean': -21.61133408378371, 'Std': 6.042765656140622}","{'Mean': -17.608007617384082, 'Std': 7.2285178613141525}"
"measuring CO,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -19.703717422023225, 'Std': 6.726049738279888}","{'Mean': -17.874592639237566, 'Std': 7.190267151702674}","{'Mean': -21.932121542754757, 'Std': 6.040159400155538}","{'Mean': -18.593738716891693, 'Std': 6.607762339681518}"
"measuring CO,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -18.42638117674469, 'Std': 7.104948024134424}","{'Mean': -17.75343491434493, 'Std': 7.37011903132633}","{'Mean': -21.66533170706996, 'Std': 5.5012423832887105}","{'Mean': -17.596965642510135, 'Std': 7.224816864173431}"
"measuring CO,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -19.217195225262145, 'Std': 6.676995184917885}","{'Mean': -18.011790473651782, 'Std': 7.143732876894116}","{'Mean': -21.580405754260347, 'Std': 5.8199576432821924}","{'Mean': -18.550490113082137, 'Std': 6.650153364102614}"
"measuring CO,measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -19.217589859661835, 'Std': 7.1387657859979825}","{'Mean': -18.127602949224627, 'Std': 8.229036286078859}","{'Mean': -21.29444486960088, 'Std': 5.8266273402940065}","{'Mean': -17.35830475689879, 'Std': 7.4678225643108505}"
"measuring CO,measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -19.037363249953664, 'Std': 6.836254572261786}","{'Mean': -17.966479238100284, 'Std': 7.655001306793828}","{'Mean': -21.073760011924435, 'Std': 6.1370216662353805}","{'Mean': -18.810225550932664, 'Std': 6.8027002603878834}"
"measuring CO,measuring SO2 1,measuring PM10,temperature,","{'Mean': -17.62844040700845, 'Std': 8.115451916292212}","{'Mean': -17.77986544616048, 'Std': 7.710684025974287}","{'Mean': -21.549673792304723, 'Std': 6.521109870930826}","{'Mean': -18.773490712619815, 'Std': 6.999762159317174}"
"measuring CO,measuring SO2 2,measuring PM10,temperature,","{'Mean': -17.912258096036986, 'Std': 7.33554963136007}","{'Mean': -17.963060946700438, 'Std': 7.654157794993092}","{'Mean': -21.213683537072818, 'Std': 5.946719281713171}","{'Mean': -18.869880055529165, 'Std': 6.767180521871327}"
