,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring SO2 2,temperature,","{'Mean': -0.4930168669617984, 'Std': 0.5556948378698502}","{'Mean': -0.1447013265853458, 'Std': 0.22574803471543592}","{'Mean': -1.3840189750937075, 'Std': 1.7135185995034006}","{'Mean': -0.368125281683792, 'Std': 0.4607301505296848}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -0.45412667728983375, 'Std': 0.6798897686269739}","{'Mean': -0.15757531093792418, 'Std': 0.25500269428365785}","{'Mean': -1.1457644031912744, 'Std': 1.132188771918914}","{'Mean': -0.15202498434076916, 'Std': 0.32917459229284574}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -0.49758464204459985, 'Std': 0.6834354715177693}","{'Mean': -0.18425624693914483, 'Std': 0.2546686454907122}","{'Mean': -1.3974327555600916, 'Std': 1.698732412900499}","{'Mean': -0.15798339403527692, 'Std': 0.3366380330019935}"
"measuring CO,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -0.7061019505813164, 'Std': 1.1177977162579018}","{'Mean': -0.1928512601758755, 'Std': 0.29057966832204996}","{'Mean': -1.0598712330088857, 'Std': 1.3494912646731465}","{'Mean': -0.11961123266832663, 'Std': 0.3880586523193656}"
"measuring CO,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -0.17938064191928993, 'Std': 0.245678130973918}","{'Mean': -0.18974090274047684, 'Std': 0.31576381175221346}","{'Mean': -0.8523923427768908, 'Std': 0.729874456486438}","{'Mean': -0.026414185879076114, 'Std': 0.12647474348541252}"
"measuring CO,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -0.2514009065583255, 'Std': 0.3959565525829276}","{'Mean': -0.1543038133508889, 'Std': 0.21843049977675344}","{'Mean': -1.29461872657279, 'Std': 1.4222443614988716}","{'Mean': -0.27404397263831204, 'Std': 0.4960873214827004}"
"measuring CO,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -0.36732783726737606, 'Std': 0.48441807386949637}","{'Mean': -0.2074089275494595, 'Std': 0.2783517834965126}","{'Mean': -1.0078496652776658, 'Std': 1.3425237286822098}","{'Mean': -0.1306103540882868, 'Std': 0.41310716332732617}"
"measuring CO,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -0.39699993219345686, 'Std': 0.5532935762381921}","{'Mean': -0.19383974092750503, 'Std': 0.23641524851232984}","{'Mean': -1.127790101971741, 'Std': 1.337132796277666}","{'Mean': -0.31525315673637394, 'Std': 0.5063843229624262}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.6187553946134734, 'Std': 0.7616655286386672}","{'Mean': -0.15150405489394186, 'Std': 0.2485684914473429}","{'Mean': -1.431224941199588, 'Std': 1.9275525920101253}","{'Mean': -0.1552195143142565, 'Std': 0.33286905234421255}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -0.6360489069715336, 'Std': 0.8526892058680492}","{'Mean': -0.13170978229480285, 'Std': 0.2480796240048631}","{'Mean': -1.1522002166877392, 'Std': 1.2486727636226191}","{'Mean': -0.1648038615238938, 'Std': 0.33573326322472624}"
