,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -0.18080124365649713, 'Std': 0.08987431130453268}","{'Mean': -0.061971302261765296, 'Std': 0.01032485861991103}","{'Mean': -0.06123270911603555, 'Std': 0.009072177018193468}","{'Mean': -0.05995879514652269, 'Std': 0.011438251117754561}"
"measuring CO,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -0.07903577677312641, 'Std': 0.0181008871910939}","{'Mean': -0.06112016860224623, 'Std': 0.011217426835963202}","{'Mean': -0.062157780996278, 'Std': 0.011914938502604165}","{'Mean': -0.05891578905586716, 'Std': 0.011579467858684363}"
"measuring CO,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -0.08169707367362519, 'Std': 0.020108292897463305}","{'Mean': -0.06142018780790892, 'Std': 0.010878385090872375}","{'Mean': -0.06319493623539352, 'Std': 0.012353169693535138}","{'Mean': -0.05969982386595536, 'Std': 0.011621348361662601}"
"measuring CO,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -0.09524925655972126, 'Std': 0.04637920881900866}","{'Mean': -0.06206744931842997, 'Std': 0.011034939457551707}","{'Mean': -0.06436605321366182, 'Std': 0.01143581648117701}","{'Mean': -0.05997133619735977, 'Std': 0.011453295792109287}"
"measuring CO,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -0.0852529312444651, 'Std': 0.03755142584931583}","{'Mean': -0.06241371756008762, 'Std': 0.010309152656868041}","{'Mean': -0.058641298632841996, 'Std': 0.0075019630323774}","{'Mean': -0.060050710841776954, 'Std': 0.011454334669224808}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.0610433567552521, 'Std': 0.010173315394120717}","{'Mean': -0.061592108936526425, 'Std': 0.011575069574903922}","{'Mean': -0.06379085210684891, 'Std': 0.011707997281741307}","{'Mean': -0.05977405963160574, 'Std': 0.011656226024106046}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.27647203055192426, 'Std': 0.21435520857971593}","{'Mean': -0.061051167948895736, 'Std': 0.011518270358659414}","{'Mean': -0.06494678371921081, 'Std': 0.01734400881379073}","{'Mean': -0.060363597525924816, 'Std': 0.012297951427676965}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -0.08061952789821096, 'Std': 0.02156110885802814}","{'Mean': -0.060792258168952576, 'Std': 0.012993180710828896}","{'Mean': -0.06672347551796913, 'Std': 0.01653198180362597}","{'Mean': -0.06069086729402373, 'Std': 0.012421071041404726}"
"measuring CO,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -0.0797364993227391, 'Std': 0.018810429082680682}","{'Mean': -0.0594671475035356, 'Std': 0.01288454695547563}","{'Mean': -0.06491458561887081, 'Std': 0.01424875104133633}","{'Mean': -0.06100683317030264, 'Std': 0.012622849840066742}"
"measuring CO,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -0.10302614592319333, 'Std': 0.06445971919235026}","{'Mean': -0.06116031480617231, 'Std': 0.012352794484688531}","{'Mean': -0.06583172675213625, 'Std': 0.021037109917268346}","{'Mean': -0.06031893271489848, 'Std': 0.012309421411373948}"
