,Sensores,MLP,MLR,KNN,RF
119,CO + NO2 + O3 2 + SO2 2 + PM10,-19.5 ± 13.72,-10.92 ± 2.03,-11.35 ± 1.92,-11.07 ± 2.28
120,CO + NO2 + O3 2 + SO2 2 + T,-19.98 ± 11.38,-8.96 ± 2.07,-9.75 ± 2.12,-9.33 ± 2.25
121,CO + NO2 + O3 2 + PM10 + T,-17.29 ± 8.82,-9.05 ± 2.23,-10.32 ± 2.22,-9.89 ± 2.4
122,CO + O3 1 + O3 2 + SO2 1 + SO2 2,-17.75 ± 6.23,-10.21 ± 2.07,-11.38 ± 1.64,-10.84 ± 2.01
123,CO + O3 1 + O3 2 + SO2 1 + PM10,-15.54 ± 4.03,-10.47 ± 1.76,-12.47 ± 2.41,-12.76 ± 3.45
124,CO + O3 1 + O3 2 + SO2 1 + T,-14.91 ± 3.97,-8.55 ± 1.88,-10.06 ± 1.71,-9.04 ± 1.85
125,CO + O3 1 + O3 2 + SO2 2 + PM10,-14.6 ± 2.82,-10.09 ± 1.91,-11.42 ± 1.69,-10.81 ± 2.16
126,CO + O3 1 + O3 2 + SO2 2 + T,-19.2 ± 8.72,-8.51 ± 1.85,-9.45 ± 1.8,-8.79 ± 1.91
127,CO + O3 1 + O3 2 + PM10 + T,-15.09 ± 3.51,-8.62 ± 1.93,-9.77 ± 1.84,-8.89 ± 1.76
128,CO + O3 1 + SO2 1 + SO2 2 + PM10,-17.94 ± 4.35,-13.0 ± 2.43,-13.26 ± 2.7,-11.2 ± 2.06
129,CO + O3 1 + SO2 1 + SO2 2 + T,-13.53 ± 3.2,-8.5 ± 1.74,-9.64 ± 1.8,-8.63 ± 2.02
130,CO + O3 1 + SO2 1 + PM10 + T,-11.9 ± 3.14,-8.58 ± 1.78,-10.04 ± 1.9,-9.27 ± 1.84
131,CO + O3 1 + SO2 2 + PM10 + T,-17.06 ± 8.94,-8.51 ± 1.77,-9.6 ± 1.96,-8.85 ± 1.99
132,CO + O3 2 + SO2 1 + SO2 2 + PM10,-16.44 ± 4.07,-10.85 ± 1.94,-11.46 ± 1.76,-11.1 ± 2.16
133,CO + O3 2 + SO2 1 + SO2 2 + T,-17.64 ± 5.69,-8.85 ± 1.96,-9.73 ± 2.19,-9.15 ± 2.04
134,CO + O3 2 + SO2 1 + PM10 + T,-14.45 ± 3.2,-8.96 ± 2.07,-10.32 ± 1.89,-10.33 ± 2.88
135,CO + O3 2 + SO2 2 + PM10 + T,-19.91 ± 8.49,-8.92 ± 2.01,-9.72 ± 1.94,-9.43 ± 2.27
136,NO2 + O3 1 + O3 2 + SO2 1 + SO2 2,-28.07 ± 23.97,-10.01 ± 2.21,-10.35 ± 2.34,-9.92 ± 1.55
137,NO2 + O3 1 + O3 2 + SO2 1 + PM10,-15.11 ± 3.22,-10.17 ± 2.02,-10.61 ± 1.83,-11.83 ± 1.96
138,NO2 + O3 1 + O3 2 + SO2 1 + T,-15.07 ± 2.1,-9.39 ± 2.14,-9.35 ± 1.81,-9.02 ± 1.76
139,NO2 + O3 1 + O3 2 + SO2 2 + PM10,-20.09 ± 12.76,-9.85 ± 2.12,-10.22 ± 1.98,-10.06 ± 1.42
