,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring O3 2,measuring SO2 2,temperature,","{'Mean': -9.477522562688657, 'Std': 1.7178326642601611}","{'Mean': -9.711883252764396, 'Std': 2.0984950733608123}","{'Mean': -9.747262937062937, 'Std': 2.4284840773805096}","{'Mean': -9.54789232414178, 'Std': 2.766659294954719}"
"measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -9.427277259378686, 'Std': 1.5468930680513666}","{'Mean': -9.100682934040236, 'Std': 2.6165925004118433}","{'Mean': -9.545636363636364, 'Std': 1.881116819397315}","{'Mean': -8.855633747631636, 'Std': 2.2093568408531215}"
"measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -9.079233713238807, 'Std': 1.7688161827067825}","{'Mean': -9.624547008434996, 'Std': 2.606301535026853}","{'Mean': -10.04775944055944, 'Std': 2.1063798396127598}","{'Mean': -9.53439296304858, 'Std': 2.7840271502422897}"
"measuring SO2 1,measuring PM10,temperature,","{'Mean': -9.971698206538928, 'Std': 3.2031502946766066}","{'Mean': -9.350440921113341, 'Std': 2.6357332349837006}","{'Mean': -10.809236363636364, 'Std': 2.7264925776673428}","{'Mean': -8.964369534255516, 'Std': 3.1924471687171887}"
"measuring SO2 2,measuring PM10,temperature,","{'Mean': -8.8639717833806, 'Std': 2.062978829104971}","{'Mean': -9.669202100716742, 'Std': 2.6961466442029542}","{'Mean': -9.852202797202796, 'Std': 2.289574044971832}","{'Mean': -9.58122133319693, 'Std': 2.793309227366926}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -10.344632442352712, 'Std': 3.088091215751249}","{'Mean': -9.865815304894904, 'Std': 4.574435917338507}","{'Mean': -8.83157902097902, 'Std': 2.5029106497515325}","{'Mean': -8.391657932570954, 'Std': 2.2784916824649026}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -9.605815039232976, 'Std': 1.6903559301155426}","{'Mean': -10.135749306035558, 'Std': 4.0490006673036065}","{'Mean': -10.262043356643357, 'Std': 2.036650335200009}","{'Mean': -8.445219593335988, 'Std': 2.302555680019337}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -9.566195210846823, 'Std': 1.9444112561000284}","{'Mean': -9.652385621984955, 'Std': 2.044694931521226}","{'Mean': -10.012283916083915, 'Std': 1.6332990470146085}","{'Mean': -8.257106788642485, 'Std': 2.2985935609037473}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -9.097938266769093, 'Std': 1.4268971110443605}","{'Mean': -9.88006847090851, 'Std': 2.2712895903230015}","{'Mean': -10.836779020979021, 'Std': 1.6068975985213247}","{'Mean': -8.333844515873466, 'Std': 2.2522477074314513}"
"measuring CO,measuring NO2,measuring SO2 1,measuring SO2 2,","{'Mean': -9.93465332060369, 'Std': 1.4115902219608385}","{'Mean': -9.710777687785058, 'Std': 3.7826852211008277}","{'Mean': -10.583794405594407, 'Std': 1.682657531630689}","{'Mean': -8.467172025884548, 'Std': 2.281353682125368}"
"measuring CO,measuring NO2,measuring SO2 1,measuring PM10,","{'Mean': -9.672225036245278, 'Std': 2.127426562496675}","{'Mean': -9.49446028378944, 'Std': 4.135473230957136}","{'Mean': -10.632493706293706, 'Std': 2.6374606085898566}","{'Mean': -8.400877366319005, 'Std': 2.2752420117987264}"
"measuring CO,measuring NO2,measuring SO2 1,temperature,","{'Mean': -9.773559275951484, 'Std': 2.0586382722724013}","{'Mean': -9.990864118364023, 'Std': 2.6117104437607783}","{'Mean': -10.455174825174826, 'Std': 2.30287557548855}","{'Mean': -9.532485457692003, 'Std': 2.618534948766624}"
"measuring CO,measuring NO2,measuring SO2 2,measuring PM10,","{'Mean': -8.742636923473519, 'Std': 1.642670556579906}","{'Mean': -9.725878235872768, 'Std': 3.594208665914019}","{'Mean': -9.712447552447552, 'Std': 1.8196736202433372}","{'Mean': -8.473101718199553, 'Std': 2.2866511779994227}"
"measuring CO,measuring NO2,measuring SO2 2,temperature,","{'Mean': -9.499655749429829, 'Std': 1.5186798337240612}","{'Mean': -10.263248669128984, 'Std': 2.7822225194116506}","{'Mean': -10.148667132867134, 'Std': 1.3827632691210168}","{'Mean': -9.892231650931233, 'Std': 1.9825931888022605}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -9.213655533009002, 'Std': 2.4998845079389507}","{'Mean': -9.885663262985226, 'Std': 2.4616790808060074}","{'Mean': -10.720250349650348, 'Std': 1.7961232780996819}","{'Mean': -8.250503438230073, 'Std': 1.9881081157967397}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -9.280197524007793, 'Std': 2.5095934466627634}","{'Mean': -10.2030187442185, 'Std': 2.7824371144773976}","{'Mean': -10.57276923076923, 'Std': 2.090298705963006}","{'Mean': -8.223468022399159, 'Std': 1.9961927055683673}"
"measuring CO,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -9.562475228779968, 'Std': 2.4777397502005245}","{'Mean': -10.159976504061452, 'Std': 4.171730549815243}","{'Mean': -9.910314685314685, 'Std': 1.1066513721602356}","{'Mean': -8.366223334477016, 'Std': 1.9988767325768635}"
"measuring CO,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -9.037553152937937, 'Std': 2.607952824677774}","{'Mean': -9.822136582472954, 'Std': 4.5876409092526895}","{'Mean': -11.683250349650349, 'Std': 2.932021052937079}","{'Mean': -8.397501551587343, 'Std': 2.398933562415016}"
"measuring CO,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -9.329570317772259, 'Std': 1.9206372112416121}","{'Mean': -10.25901905135179, 'Std': 2.9830265077615348}","{'Mean': -10.554955244755245, 'Std': 2.1121413011781667}","{'Mean': -9.087679190567208, 'Std': 2.3594820879315512}"
"measuring CO,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -9.636824717957179, 'Std': 2.317571154015874}","{'Mean': -10.244751353196696, 'Std': 4.027062551341679}","{'Mean': -9.734048951048953, 'Std': 1.3599614347959397}","{'Mean': -8.382945919448492, 'Std': 2.010001283765067}"
"measuring CO,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -9.377488933537634, 'Std': 2.228999386920932}","{'Mean': -10.67373331480044, 'Std': 3.2021659749013858}","{'Mean': -9.466843356643356, 'Std': 2.2805520642957733}","{'Mean': -9.443749923681679, 'Std': 1.8330951243343219}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -9.3813559386533, 'Std': 2.07956503372257}","{'Mean': -9.935621315052998, 'Std': 2.3807091835233183}","{'Mean': -9.95377062937063, 'Std': 2.5403713986580705}","{'Mean': -8.299631819724386, 'Std': 1.923186669405665}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -9.228229311299838, 'Std': 2.5757260950420653}","{'Mean': -9.682040195220564, 'Std': 2.0186105252468267}","{'Mean': -10.811913286713287, 'Std': 2.217656616906475}","{'Mean': -8.402615386599168, 'Std': 1.9177271705893206}"
"measuring CO,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -9.580048633920953, 'Std': 2.797956533056265}","{'Mean': -9.849476704697793, 'Std': 1.8842096678272962}","{'Mean': -10.658783216783217, 'Std': 2.62398591455236}","{'Mean': -9.284088064040787, 'Std': 1.9101038371632844}"
"measuring CO,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -9.056381578480012, 'Std': 1.8627003447586585}","{'Mean': -9.957642834462172, 'Std': 2.256990116210905}","{'Mean': -10.173011188811188, 'Std': 1.8937226098789923}","{'Mean': -8.318633310627463, 'Std': 1.9196534626205666}"
"measuring CO,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -9.261708102708898, 'Std': 1.827561386985616}","{'Mean': -10.137509931538686, 'Std': 2.057455609379133}","{'Mean': -9.763383216783216, 'Std': 2.452035212844444}","{'Mean': -9.320940358359387, 'Std': 1.8269316481923867}"
"measuring CO,measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -9.402532945497772, 'Std': 1.407406688519166}","{'Mean': -9.808990603715094, 'Std': 3.749320339890529}","{'Mean': -10.076046153846153, 'Std': 1.325104894725518}","{'Mean': -8.417640618409726, 'Std': 1.9846488718054935}"
"measuring CO,measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -9.44474502167002, 'Std': 1.9299259210691566}","{'Mean': -10.332185501815365, 'Std': 2.837150980496238}","{'Mean': -10.050646153846156, 'Std': 2.0600283269368624}","{'Mean': -9.8985894490004, 'Std': 1.9687064050945997}"
"measuring CO,measuring SO2 1,measuring PM10,temperature,","{'Mean': -9.203737844957605, 'Std': 2.2703263925870214}","{'Mean': -9.981744366428924, 'Std': 2.5991821942876476}","{'Mean': -10.548574825174825, 'Std': 2.6800869409626227}","{'Mean': -9.587847344190637, 'Std': 2.6634723001724216}"
"measuring CO,measuring SO2 2,measuring PM10,temperature,","{'Mean': -8.849295398352343, 'Std': 2.0093658063873483}","{'Mean': -10.300357474689338, 'Std': 2.793825479137636}","{'Mean': -9.855651748251749, 'Std': 2.2847378715204902}","{'Mean': -9.930649838687163, 'Std': 1.9676312919952226}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -10.12199895155661, 'Std': 2.2634828453041136}","{'Mean': -9.008154683480146, 'Std': 2.1414181865471704}","{'Mean': -9.972033566433566, 'Std': 1.6422439482167523}","{'Mean': -8.63757018839484, 'Std': 2.3473036108901404}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -9.986407519525779, 'Std': 1.7817518294669112}","{'Mean': -9.260049129968118, 'Std': 2.0287887347061857}","{'Mean': -11.215493706293707, 'Std': 2.292496264909539}","{'Mean': -8.762723846931149, 'Std': 2.3133640547384062}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -10.752951644841719, 'Std': 1.7680419901448108}","{'Mean': -9.263642343071979, 'Std': 2.540287026282681}","{'Mean': -9.774804195804197, 'Std': 1.2944552137165128}","{'Mean': -8.893680530867128, 'Std': 2.318821095290529}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -10.865995550453839, 'Std': 2.86956555162668}","{'Mean': -9.300857881856013, 'Std': 2.330998981184576}","{'Mean': -10.4252, 'Std': 2.340308813058282}","{'Mean': -9.02222707645911, 'Std': 2.3017467243942034}"
"measuring NO2,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -10.352691820501136, 'Std': 2.8479377579212963}","{'Mean': -9.444286588597897, 'Std': 2.696969804533661}","{'Mean': -10.66588111888112, 'Std': 1.9663409059876473}","{'Mean': -8.837435062269787, 'Std': 2.8615978743558497}"
"measuring NO2,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -9.938131891280008, 'Std': 1.5055128872664776}","{'Mean': -9.501060761402591, 'Std': 2.5467745573658385}","{'Mean': -9.710099300699301, 'Std': 1.4597686831185288}","{'Mean': -8.890661899628368, 'Std': 2.335070058810201}"
"measuring NO2,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -10.010561657759027, 'Std': 2.0790321648177756}","{'Mean': -9.794777371667474, 'Std': 2.7149903178014676}","{'Mean': -9.773808391608393, 'Std': 1.3743877862645264}","{'Mean': -9.407999669760006, 'Std': 2.5260063486986764}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -10.027522006110939, 'Std': 1.2405440767950073}","{'Mean': -9.140414728721872, 'Std': 1.981660743284458}","{'Mean': -10.612116083916083, 'Std': 1.8045036175139177}","{'Mean': -8.750562968436409, 'Std': 2.3059134186958254}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -9.635102704255653, 'Std': 1.605420314663836}","{'Mean': -8.991719948852886, 'Std': 2.0838949775718487}","{'Mean': -10.311507692307691, 'Std': 1.5913480481680713}","{'Mean': -8.62504013064501, 'Std': 2.356439298334667}"
"measuring NO2,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -10.299452131002084, 'Std': 2.0550297800583315}","{'Mean': -9.476488333669755, 'Std': 2.1201145910357733}","{'Mean': -10.980275524475523, 'Std': 2.405739447561096}","{'Mean': -9.316777193596408, 'Std': 2.6194846226277497}"
"measuring NO2,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -9.24071279109309, 'Std': 1.4523663780615297}","{'Mean': -9.23844485139259, 'Std': 1.996088712526439}","{'Mean': -10.501123076923077, 'Std': 1.2405298974620245}","{'Mean': -8.769830222980659, 'Std': 2.306106867689681}"
"measuring NO2,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -10.403715895222664, 'Std': 1.1597897378888486}","{'Mean': -9.820277861420488, 'Std': 2.0563456518517444}","{'Mean': -10.217910489510489, 'Std': 1.6724943704150042}","{'Mean': -9.434260363358016, 'Std': 2.5765245382026163}"
