,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring SO2 1,measuring PM10,temperature,","{'Mean': -7.953480701251695, 'Std': 1.4714593698561376}","{'Mean': -7.490330895382023, 'Std': 1.6379347468608296}","{'Mean': -8.803816783216783, 'Std': 0.8761855903744888}","{'Mean': -7.7239131730366966, 'Std': 1.5245034512870523}"
"measuring NO2,measuring SO2 2,measuring PM10,temperature,","{'Mean': -8.173234481524833, 'Std': 1.1494462055309214}","{'Mean': -7.756049142205919, 'Std': 1.546008534785176}","{'Mean': -9.042234965034966, 'Std': 0.8095932711308653}","{'Mean': -7.863936857860365, 'Std': 1.43173596431234}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -8.558372763500248, 'Std': 1.2730865325547476}","{'Mean': -7.9614748908272785, 'Std': 2.538196880256396}","{'Mean': -8.988117482517483, 'Std': 1.7234538475406496}","{'Mean': -7.25768156121917, 'Std': 1.7384746581835542}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -8.171686787702702, 'Std': 1.3105157180168523}","{'Mean': -8.206042754346875, 'Std': 2.7232633320723973}","{'Mean': -8.817576223776225, 'Std': 1.4196421843368598}","{'Mean': -7.278317358622947, 'Std': 1.7280384628425178}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -8.43988312696405, 'Std': 1.6812835124254335}","{'Mean': -8.00332529750309, 'Std': 2.6279619875405573}","{'Mean': -8.472514685314685, 'Std': 1.7378791071652033}","{'Mean': -7.2615970938719485, 'Std': 1.7419884205811447}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -8.336686836821258, 'Std': 1.5810658227970669}","{'Mean': -8.10137981159393, 'Std': 2.4599144255754877}","{'Mean': -8.670495104895107, 'Std': 1.6957372815139378}","{'Mean': -7.285562247612141, 'Std': 1.7157987583399281}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -8.015534139221497, 'Std': 1.2030085497491614}","{'Mean': -8.06715531605873, 'Std': 2.757184649997135}","{'Mean': -8.416163636363637, 'Std': 1.0896984972447887}","{'Mean': -7.266809677371272, 'Std': 1.72441104816266}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -8.324588793324875, 'Std': 1.9331245115699984}","{'Mean': -7.820088731947214, 'Std': 2.6663743056432994}","{'Mean': -9.399882517482519, 'Std': 1.722217793045916}","{'Mean': -7.2559822839949195, 'Std': 1.7524300647541151}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -8.714298540653537, 'Std': 1.386735044102957}","{'Mean': -7.929295859479869, 'Std': 2.59859323188979}","{'Mean': -8.88713006993007, 'Std': 1.290172770538699}","{'Mean': -7.285304070071646, 'Std': 1.7157508832081887}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -7.4133139505212995, 'Std': 1.2797094601225685}","{'Mean': -8.130916999643981, 'Std': 2.8378567972040067}","{'Mean': -8.104106293706293, 'Std': 1.453992466617549}","{'Mean': -7.277624734930387, 'Std': 1.7365188906687377}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -7.836584936792629, 'Std': 0.919743156059371}","{'Mean': -8.21351678267585, 'Std': 2.7545512692906993}","{'Mean': -8.530144055944055, 'Std': 1.2292729289053541}","{'Mean': -7.307434657324427, 'Std': 1.705193648803196}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -8.425974991180723, 'Std': 1.750098533047021}","{'Mean': -7.972518389746469, 'Std': 2.6869580020146304}","{'Mean': -8.407241958041958, 'Std': 1.4545047217171831}","{'Mean': -7.289003516961486, 'Std': 1.7188831915815859}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -8.143651514783551, 'Std': 1.1791576284803402}","{'Mean': -8.037131813511099, 'Std': 2.572913424676242}","{'Mean': -9.194012587412589, 'Std': 0.7632688951326922}","{'Mean': -7.211230085086369, 'Std': 1.676691179410615}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -8.071629180770968, 'Std': 1.3061531253757326}","{'Mean': -7.834219780916934, 'Std': 2.4864065341927457}","{'Mean': -8.954686713286714, 'Std': 1.2582818511322666}","{'Mean': -7.195751910586194, 'Std': 1.6919341388849969}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -8.510566788682414, 'Std': 1.03145772865722}","{'Mean': -7.952118476385991, 'Std': 2.3402587781224926}","{'Mean': -9.03551048951049, 'Std': 1.2478069197411839}","{'Mean': -7.219578724431555, 'Std': 1.665606715015251}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -8.022592665779001, 'Std': 1.2666823146784125}","{'Mean': -8.065303118616358, 'Std': 2.6277096536347955}","{'Mean': -8.879713286713287, 'Std': 1.010788418229413}","{'Mean': -7.215780974047988, 'Std': 1.6828935667894156}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -8.619128312608241, 'Std': 1.4416210713373272}","{'Mean': -8.193091677954971, 'Std': 2.504171162954466}","{'Mean': -9.047744055944056, 'Std': 1.0327787144223872}","{'Mean': -7.240329722964889, 'Std': 1.6576424085137378}"
